音碼	注音	漢語拼音	聲母(Initial)	母音(Final)	    介音(medials)	(rime)	韻腹(nucleus)	韻尾(coda)
36		ㄖㄜ	re			ini_r			fin_e			/			e		n_e				/
37		ㄗㄜ	ze			ini_z			fin_e			/			e		n_e				/
38		ㄘㄜ	ce			ini_c			fin_e			/			e		n_e				/
39		ㄙㄜ	se			ini_s			fin_e			/			e		n_e				/
40		ㄍㄜ	ge			ini_g			fin_e			/			e		n_e				/
41		ㄎㄜ	ke			ini_k			fin_e			/			e		n_e				/
42		ㄏㄜ	he			ini_h			fin_e			/			e		n_e				/
43		ㄉㄜ	de			ini_d			fin_e			/			e		n_e				/
44		ㄊㄜ	te			ini_t			fin_e			/			e		n_e				/
45		ㄋㄜ	ne			ini_n			fin_e			/			e		n_e				/
46		ㄌㄜ	le			ini_l			fin_e			/			e		n_e				/
47		ㄞ		ai			/				fin_ai			/			ai		n_a				c_yi
48		ㄓㄞ	zhai		ini_zh			fin_ai			/			ai		n_a				c_yi
49		ㄔㄞ	chai		ini_ch			fin_ai			/			ai		n_a				c_yi
50		ㄕㄞ	shai		ini_sh			fin_ai			/			ai		n_a				c_yi
51		ㄗㄞ	zai			ini_z			fin_ai			/			ai		n_a				c_yi
52		ㄘㄞ	cai			ini_c			fin_ai			/			ai		n_a				c_yi
53		ㄙㄞ	sai			ini_s			fin_ai			/			ai		n_a				c_yi
54		ㄍㄞ	gai			ini_g			fin_ai			/			ai		n_a				c_yi
55		ㄎㄞ	kai			ini_k			fin_ai			/			ai		n_a				c_yi
56		ㄏㄞ	hai			ini_h			fin_ai			/			ai		n_a				c_yi
57		ㄉㄞ	dai			ini_d			fin_ai			/			ai		n_a				c_yi
58		ㄊㄞ	tai			ini_t			fin_ai			/			ai		n_a				c_yi
59		ㄋㄞ	nai			ini_n			fin_ai			/			ai		n_a				c_yi
60		ㄌㄞ	lai			ini_l			fin_ai			/			ai		n_a				c_yi
61		ㄅㄞ	bai			ini_b			fin_ai			/			ai		n_a				c_yi
62		ㄆㄞ	pai			ini_p			fin_ai			/			ai		n_a				c_yi
63		ㄇㄞ	mai			ini_m			fin_ai			/			ai		n_a				c_yi
64		ㄝ		eh			/				fin_eh			/			eh		n_eh			/
65		ㄓㄟ	zhei		ini_zh			fin_ei			/			ei		n_eh			c_yi
66		ㄕㄟ	shei		ini_sh			fin_ei			/			ei		n_eh			c_yi
67		ㄗㄟ	zei			ini_z			fin_ei			/			ei		n_eh			c_yi
68		ㄙㄟ	sei			ini_s			fin_ei			/			ei		n_eh			c_yi
69		ㄍㄟ	gei			ini_g			fin_ei			/			ei		n_eh			c_yi
70		ㄏㄟ	hei			ini_h			fin_ei			/			ei		n_eh			c_yi
71		ㄉㄟ	dei			ini_d			fin_ei			/			ei		n_eh			c_yi
72		ㄋㄟ	nei			ini_n			fin_ei			/			ei		n_eh			c_yi
73		ㄌㄟ	lei			ini_l			fin_ei			/			ei		n_eh			c_yi
74		ㄅㄟ	bei			ini_b			fin_ei			/			ei		n_eh			c_yi
75		ㄆㄟ	pei			ini_p			fin_ei			/			ei		n_eh			c_yi
76		ㄇㄟ	mei			ini_m			fin_ei			/			ei		n_eh			c_yi
77		ㄈㄟ	fei			ini_f			fin_ei			/			ei		n_eh			c_yi
78		ㄠ		ao			/				fin_ao			/			ao		n_a				c_wu
79		ㄓㄠ	zhao		ini_zh			fin_ao			/			ao		n_a				c_wu
80		ㄔㄠ	chao		ini_ch			fin_ao			/			ao		n_a				c_wu
81		ㄕㄠ	shao		ini_sh			fin_ao			/			ao		n_a				c_wu
82		ㄖㄠ	rao			ini_r			fin_ao			/			ao		n_a				c_wu
83		ㄗㄠ	zao			ini_z			fin_ao			/			ao		n_a				c_wu
84		ㄘㄠ	cao			ini_c			fin_ao			/			ao		n_a				c_wu
85		ㄙㄠ	sao			ini_s			fin_ao			/			ao		n_a				c_wu
86		ㄍㄠ	gao			ini_g			fin_ao			/			ao		n_a				c_wu
87		ㄎㄠ	kao			ini_k			fin_ao			/			ao		n_a				c_wu
88		ㄏㄠ	hao			ini_h			fin_ao			/			ao		n_a				c_wu
89		ㄉㄠ	dao			ini_d			fin_ao			/			ao		n_a				c_wu
90		ㄊㄠ	tao			ini_t			fin_ao			/			ao		n_a				c_wu
91		ㄋㄠ	nao			ini_n			fin_ao			/			ao		n_a				c_wu
92		ㄌㄠ	lao			ini_l			fin_ao			/			ao		n_a				c_wu
93		ㄅㄠ	bao			ini_b			fin_ao			/			ao		n_a				c_wu
94		ㄆㄠ	pao			ini_p			fin_ao			/			ao		n_a				c_wu
95		ㄇㄠ	mao			ini_m			fin_ao			/			ao		n_a				c_wu
96		ㄡ		ou			/				fin_ou			/			ou		n_o				c_wu
97		ㄓㄡ	zhou		ini_zh			fin_ou			/			ou		n_o				c_wu
98		ㄔㄡ	chou		ini_ch			fin_ou			/			ou		n_o				c_wu
99		ㄕㄡ	shou		ini_sh			fin_ou			/			ou		n_o				c_wu
100		ㄖㄡ	rou			ini_r			fin_ou			/			ou		n_o				c_wu
101		ㄗㄡ	zou			ini_z			fin_ou			/			ou		n_o				c_wu
102		ㄘㄡ	cou			ini_c			fin_ou			/			ou		n_o				c_wu
103		ㄙㄡ	sou			ini_s			fin_ou			/			ou		n_o				c_wu
104		ㄍㄡ	gou			ini_g			fin_ou			/			ou		n_o				c_wu
105		ㄎㄡ	kou			ini_k			fin_ou			/			ou		n_o				c_wu
106		ㄏㄡ	hou			ini_h			fin_ou			/			ou		n_o				c_wu
107		ㄉㄡ	dou			ini_d			fin_ou			/			ou		n_o				c_wu
108		ㄊㄡ	tou			ini_t			fin_ou			/			ou		n_o				c_wu
109		ㄋㄡ	nou			ini_n			fin_ou			/			ou		n_o				c_wu
110		ㄌㄡ	lou			ini_l			fin_ou			/			ou		n_o				c_wu
111		ㄆㄡ	pou			ini_p			fin_ou			/			ou		n_o				c_wu
112		ㄇㄡ	mou			ini_m			fin_ou			/			ou		n_o				c_wu
113		ㄈㄡ	fou			ini_f			fin_ou			/			ou		n_o				c_wu
114		ㄢ		an			/				fin_an			/			an		n_a				c_n
115		ㄓㄢ	zhan		ini_zh			fin_an			/			an		n_a				c_n
116		ㄔㄢ	chan		ini_ch			fin_an			/			an		n_a				c_n
117		ㄕㄢ	shan		ini_sh			fin_an			/			an		n_a				c_n
118		ㄖㄢ	ran			ini_r			fin_an			/			an		n_a				c_n
119		ㄗㄢ	zan			ini_z			fin_an			/			an		n_a				c_n
120		ㄘㄢ	can			ini_c			fin_an			/			an		n_a				c_n
121		ㄙㄢ	san			ini_s			fin_an			/			an		n_a				c_n
122		ㄍㄢ	gan			ini_g			fin_an			/			an		n_a				c_n
123		ㄎㄢ	kan			ini_k			fin_an			/			an		n_a				c_n
124		ㄏㄢ	han			ini_h			fin_an			/			an		n_a				c_n
125		ㄉㄢ	dan			ini_d			fin_an			/			an		n_a				c_n
126		ㄊㄢ	tan			ini_t			fin_an			/			an		n_a				c_n
127		ㄋㄢ	_nan		ini_n			fin_an			/			an		n_a				c_n
128		ㄌㄢ	lan			ini_l			fin_an			/			an		n_a				c_n
129		ㄅㄢ	ban			ini_b			fin_an			/			an		n_a				c_n
130		ㄆㄢ	pan			ini_p			fin_an			/			an		n_a				c_n
131		ㄇㄢ	man			ini_m			fin_an			/			an		n_a				c_n
132		ㄈㄢ	fan			ini_f			fin_an			/			an		n_a				c_n
133		ㄣ		en			/				fin_en			/			en		n_e				c_n
134		ㄓㄣ	zhen		ini_zh			fin_en			/			en		n_e				c_n
135		ㄔㄣ	chen		ini_ch			fin_en			/			en		n_e				c_n
136		ㄕㄣ	shen		ini_sh			fin_en			/			en		n_e				c_n
137		ㄖㄣ	ren			ini_r			fin_en			/			en		n_e				c_n
138		ㄗㄣ	zen			ini_z			fin_en			/			en		n_e				c_n
139		ㄘㄣ	cen			ini_c			fin_en			/			en		n_e				c_n
140		ㄙㄣ	sen			ini_s			fin_en			/			en		n_e				c_n
141		ㄍㄣ	gen			ini_g			fin_en			/			en		n_e				c_n
142		ㄎㄣ	ken			ini_k			fin_en			/			en		n_e				c_n
143		ㄏㄣ	hen			ini_h			fin_en			/			en		n_e				c_n
144		ㄋㄣ	nen			ini_n			fin_en			/			en		n_e				c_n
145		ㄅㄣ	ben			ini_b			fin_en			/			en		n_e				c_n
146		ㄆㄣ	pen			ini_p			fin_en			/			en		n_e				c_n
147		ㄇㄣ	men			ini_m			fin_en			/			en		n_e				c_n
148		ㄈㄣ	fen			ini_f			fin_en			/			en		n_e				c_n
149		ㄤ		ang			/				fin_ang			/			ang		n_a				c_ng
150		ㄓㄤ	zhang		ini_zh			fin_ang			/			ang		n_a				c_ng
151		ㄔㄤ	chang		ini_ch			fin_ang			/			ang		n_a				c_ng
152		ㄕㄤ	shang		ini_sh			fin_ang			/			ang		n_a				c_ng
153		ㄖㄤ	rang		ini_r			fin_ang			/			ang		n_a				c_ng
154		ㄗㄤ	zang		ini_z			fin_ang			/			ang		n_a				c_ng
155		ㄘㄤ	cang		ini_c			fin_ang			/			ang		n_a				c_ng
156		ㄙㄤ	sang		ini_s			fin_ang			/			ang		n_a				c_ng
157		ㄍㄤ	gang		ini_g			fin_ang			/			ang		n_a				c_ng
158		ㄎㄤ	kang		ini_k			fin_ang			/			ang		n_a				c_ng
159		ㄏㄤ	hang		ini_h			fin_ang			/			ang		n_a				c_ng
160		ㄉㄤ	dang		ini_d			fin_ang			/			ang		n_a				c_ng
161		ㄊㄤ	tang		ini_t			fin_ang			/			ang		n_a				c_ng
162		ㄋㄤ	_nang		ini_n			fin_ang			/			ang		n_a				c_ng
163		ㄌㄤ	lang		ini_l			fin_ang			/			ang		n_a				c_ng
164		ㄅㄤ	bang		ini_b			fin_ang			/			ang		n_a				c_ng
165		ㄆㄤ	pang		ini_p			fin_ang			/			ang		n_a				c_ng
166		ㄇㄤ	mang		ini_m			fin_ang			/			ang		n_a				c_ng
167		ㄈㄤ	fang		ini_f			fin_ang			/			ang		n_a				c_ng
168		ㄓㄥ	zheng		ini_zh			fin_eng			/			eng		n_e				c_ng
169		ㄔㄥ	cheng		ini_ch			fin_eng			/			eng		n_e				c_ng
170		ㄕㄥ	sheng		ini_sh			fin_eng			/			eng		n_e				c_ng
171		ㄖㄥ	reng		ini_r			fin_eng			/			eng		n_e				c_ng
172		ㄗㄥ	zeng		ini_z			fin_eng			/			eng		n_e				c_ng
173		ㄘㄥ	ceng		ini_c			fin_eng			/			eng		n_e				c_ng
174		ㄙㄥ	seng		ini_s			fin_eng			/			eng		n_e				c_ng
175		ㄍㄥ	geng		ini_g			fin_eng			/			eng		n_e				c_ng
176		ㄎㄥ	keng		ini_k			fin_eng			/			eng		n_e				c_ng
177		ㄏㄥ	heng		ini_h			fin_eng			/			eng		n_e				c_ng
178		ㄉㄥ	deng		ini_d			fin_eng			/			eng		n_e				c_ng
179		ㄊㄥ	teng		ini_t			fin_eng			/			eng		n_e				c_ng
180		ㄋㄥ	neng		ini_n			fin_eng			/			eng		n_e				c_ng
181		ㄌㄥ	leng		ini_l			fin_eng			/			eng		n_e				c_ng
182		ㄅㄥ	beng		ini_b			fin_eng			/			eng		n_e				c_ng
183		ㄆㄥ	peng		ini_p			fin_eng			/			eng		n_e				c_ng
184		ㄇㄥ	meng		ini_m			fin_eng			/			eng		n_e				c_ng
185		ㄈㄥ	feng		ini_f			fin_eng			/			eng		n_e				c_ng
186		ㄧ		yi			/				fin_yi			/			yi		n_yi			/
187		ㄐㄧ	ji			ini_j			fin_yi			/			yi		n_yi			/
188		ㄑㄧ	qi			ini_q			fin_yi			/			yi		n_yi			/
189		ㄒㄧ	xi			ini_x			fin_yi			/			yi		n_yi			/
190		ㄉㄧ	di			ini_d			fin_yi			/			yi		n_yi			/
191		ㄊㄧ	ti			ini_t			fin_yi			/			yi		n_yi			/
192		ㄋㄧ	ni			ini_n			fin_yi			/			yi		n_yi			/
193		ㄌㄧ	li			ini_l			fin_yi			/			yi		n_yi			/
194		ㄅㄧ	bi			ini_b			fin_yi			/			yi		n_yi			/
195		ㄆㄧ	pi			ini_p			fin_yi			/			yi		n_yi			/
196		ㄇㄧ	mi			ini_m			fin_yi			/			yi		n_yi			/
197		ㄨ		wu			/				fin_wu			/			wu		n_wu			/
198		ㄓㄨ	zhu			ini_zh			fin_wu			/			wu		n_wu			/
199		ㄔㄨ	chu			ini_ch			fin_wu			/			wu		n_wu			/
200		ㄕㄨ	shu			ini_sh			fin_wu			/			wu		n_wu			/
201		ㄖㄨ	ru			ini_r			fin_wu			/			wu		n_wu			/
202		ㄗㄨ	zu			ini_z			fin_wu			/			wu		n_wu			/
203		ㄘㄨ	cu			ini_c			fin_wu			/			wu		n_wu			/
204		ㄙㄨ	su			ini_s			fin_wu			/			wu		n_wu			/
205		ㄍㄨ	gu			ini_g			fin_wu			/			wu		n_wu			/
206		ㄎㄨ	ku			ini_k			fin_wu			/			wu		n_wu			/
207		ㄏㄨ	hu			ini_h			fin_wu			/			wu		n_wu			/
208		ㄉㄨ	du			ini_d			fin_wu			/			wu		n_wu			/
209		ㄊㄨ	tu			ini_t			fin_wu			/			wu		n_wu			/
210		ㄋㄨ	nu			ini_n			fin_wu			/			wu		n_wu			/
211		ㄌㄨ	lu			ini_l			fin_wu			/			wu		n_wu			/
212		ㄅㄨ	bu			ini_b			fin_wu			/			wu		n_wu			/
213		ㄆㄨ	pu			ini_p			fin_wu			/			wu		n_wu			/
214		ㄇㄨ	mu			ini_m			fin_wu			/			wu		n_wu			/
215		ㄈㄨ	fu			ini_f			fin_wu			/			wu		n_wu			/
216		ㄩ		yu			/				fin_yu			/			yu		n_yu			/
217		ㄐㄩ	ju			ini_j			fin_yu			/			yu		n_yu			/
218		ㄑㄩ	qu			ini_q			fin_yu			/			yu		n_yu			/
219		ㄒㄩ	xu			ini_x			fin_yu			/			yu		n_yu			/
220		ㄋㄩ	nu_			ini_n			fin_yu			/			yu		n_yu			/
221		ㄌㄩ	lu_			ini_l			fin_yu			/			yu		n_yu			/
222		ㄧㄚ	ya			/				fin_ya			m_yi		a		n_a				/
223		ㄐㄧㄚ	jia			ini_j			fin_ya			m_yi		a		n_a				/
224		ㄑㄧㄚ	qia			ini_q			fin_ya			m_yi		a		n_a				/
225		ㄒㄧㄚ	xia			ini_x			fin_ya			m_yi		a		n_a				/
226		ㄌㄧㄚ	lia			ini_l			fin_ya			m_yi		a		n_a				/
227		ㄧㄝ	ye			/				fin_ye			m_yi		eh		n_eh			/
228		ㄐㄧㄝ	jie			ini_j			fin_ye			m_yi		eh		n_eh			/
229		ㄑㄧㄝ	qie			ini_q			fin_ye			m_yi		eh		n_eh			/
230		ㄒㄧㄝ	xie			ini_x			fin_ye			m_yi		eh		n_eh			/
231		ㄉㄧㄝ	die			ini_d			fin_ye			m_yi		eh		n_eh			/
232		ㄊㄧㄝ	tie			ini_t			fin_ye			m_yi		eh		n_eh			/
233		ㄋㄧㄝ	nie			ini_n			fin_ye			m_yi		eh		n_eh			/
234		ㄌㄧㄝ	lie			ini_l			fin_ye			m_yi		eh		n_eh			/
235		ㄅㄧㄝ	bie			ini_b			fin_ye			m_yi		eh		n_eh			/
236		ㄆㄧㄝ	pie			ini_p			fin_ye			m_yi		eh		n_eh			/
237		ㄇㄧㄝ	mie			ini_m			fin_ye			m_yi		eh		n_eh			/
238		ㄧㄞ	yai			/				fin_yai			m_yi		ai		n_a				c_yi
239		ㄧㄠ	yao			/				fin_yao			m_yi		ao		n_a				c_wu
240		ㄐㄧㄠ	jiao		ini_j			fin_yao			m_yi		ao		n_a				c_wu
241		ㄑㄧㄠ	qiao		ini_q			fin_yao			m_yi		ao		n_a				c_wu
242		ㄒㄧㄠ	xiao		ini_x			fin_yao			m_yi		ao		n_a				c_wu
243		ㄉㄧㄠ	diao		ini_d			fin_yao			m_yi		ao		n_a				c_wu
244		ㄊㄧㄠ	tiao		ini_t			fin_yao			m_yi		ao		n_a				c_wu
245		ㄋㄧㄠ	niao		ini_n			fin_yao			m_yi		ao		n_a				c_wu
246		ㄌㄧㄠ	liao		ini_l			fin_yao			m_yi		ao		n_a				c_wu
247		ㄅㄧㄠ	biao		ini_b			fin_yao			m_yi		ao		n_a				c_wu
248		ㄆㄧㄠ	piao		ini_p			fin_yao			m_yi		ao		n_a				c_wu
249		ㄇㄧㄠ	miao		ini_m			fin_yao			m_yi		ao		n_a				c_wu
250		ㄧㄡ	you			/				fin_you			m_yi		ou		n_o				c_wu
251		ㄐㄧㄡ	jiu			ini_j			fin_you			m_yi		ou		n_o				c_wu
252		ㄑㄧㄡ	qiu			ini_q			fin_you			m_yi		ou		n_o				c_wu
253		ㄒㄧㄡ	xiu			ini_x			fin_you			m_yi		ou		n_o				c_wu
254		ㄉㄧㄡ	diu			ini_d			fin_you			m_yi		ou		n_o				c_wu
255		ㄋㄧㄡ	niu			ini_n			fin_you			m_yi		ou		n_o				c_wu
256		ㄌㄧㄡ	liu			ini_l			fin_you			m_yi		ou		n_o				c_wu
257		ㄇㄧㄡ	miu			ini_m			fin_you			m_yi		ou		n_o				c_wu
258		ㄧㄢ	yan			/				fin_yan			m_yi		an		n_a				c_n
259		ㄐㄧㄢ	jian		ini_j			fin_yan			m_yi		an		n_a				c_n
260		ㄑㄧㄢ	qian		ini_q			fin_yan			m_yi		an		n_a				c_n
261		ㄒㄧㄢ	xian		ini_x			fin_yan			m_yi		an		n_a				c_n
262		ㄉㄧㄢ	dian		ini_d			fin_yan			m_yi		an		n_a				c_n
263		ㄊㄧㄢ	tian		ini_t			fin_yan			m_yi		an		n_a				c_n
264		ㄋㄧㄢ	nian		ini_n			fin_yan			m_yi		an		n_a				c_n
265		ㄌㄧㄢ	lian		ini_l			fin_yan			m_yi		an		n_a				c_n
266		ㄅㄧㄢ	bian		ini_b			fin_yan			m_yi		an		n_a				c_n
267		ㄆㄧㄢ	pian		ini_p			fin_yan			m_yi		an		n_a				c_n
268		ㄇㄧㄢ	mian		ini_m			fin_yan			m_yi		an		n_a				c_n
269		ㄧㄣ	yin			/				fin_yin			m_yi		en		n_e				c_n
270		ㄐㄧㄣ	jin			ini_j			fin_yin			m_yi		en		n_e				c_n
271		ㄑㄧㄣ	qin			ini_q			fin_yin			m_yi		en		n_e				c_n
272		ㄒㄧㄣ	xin			ini_x			fin_yin			m_yi		en		n_e				c_n
273		ㄋㄧㄣ	nin			ini_n			fin_yin			m_yi		en		n_e				c_n
274		ㄌㄧㄣ	lin			ini_l			fin_yin			m_yi		en		n_e				c_n
275		ㄅㄧㄣ	bin			ini_b			fin_yin			m_yi		en		n_e				c_n
276		ㄆㄧㄣ	pin			ini_p			fin_yin			m_yi		en		n_e				c_n
277		ㄇㄧㄣ	min			ini_m			fin_yin			m_yi		en		n_e				c_n
278		ㄧㄤ	yang		/				fin_yang		m_yi		ang		n_a				c_ng
279		ㄐㄧㄤ	jiang		ini_j			fin_yang		m_yi		ang		n_a				c_ng
280		ㄑㄧㄤ	qiang		ini_q			fin_yang		m_yi		ang		n_a				c_ng
281		ㄒㄧㄤ	xiang		ini_x			fin_yang		m_yi		ang		n_a				c_ng
282		ㄋㄧㄤ	niang		ini_n			fin_yang		m_yi		ang		n_a				c_ng
283		ㄌㄧㄤ	liang		ini_l			fin_yang		m_yi		ang		n_a				c_ng
284		ㄧㄥ	ying		/				fin_ying		m_yi		eng		n_e				c_ng
285		ㄐㄧㄥ	jing		ini_j			fin_ying		m_yi		eng		n_e				c_ng
286		ㄑㄧㄥ	qing		ini_q			fin_ying		m_yi		eng		n_e				c_ng
287		ㄒㄧㄥ	xing		ini_x			fin_ying		m_yi		eng		n_e				c_ng
288		ㄉㄧㄥ	ding		ini_d			fin_ying		m_yi		eng		n_e				c_ng
289		ㄊㄧㄥ	ting		ini_t			fin_ying		m_yi		eng		n_e				c_ng
290		ㄋㄧㄥ	ning		ini_n			fin_ying		m_yi		eng		n_e				c_ng
291		ㄌㄧㄥ	ling		ini_l			fin_ying		m_yi		eng		n_e				c_ng
292		ㄅㄧㄥ	bing		ini_b			fin_ying		m_yi		eng		n_e				c_ng
293		ㄆㄧㄥ	ping		ini_p			fin_ying		m_yi		eng		n_e				c_ng
294		ㄇㄧㄥ	ming		ini_m			fin_ying		m_yi		eng		n_e				c_ng
295		ㄨㄚ	wa			/				fin_wa			m_wu		a		n_a				/
296		ㄓㄨㄚ	zhua		ini_zh			fin_wa			m_wu		a		n_a				/
297		ㄔㄨㄚ	chua		ini_ch			fin_wa			m_wu		a		n_a				/
298		ㄕㄨㄚ	shua		ini_sh			fin_wa			m_wu		a		n_a				/
299		ㄍㄨㄚ	gua			ini_g			fin_wa			m_wu		a		n_a				/
300		ㄎㄨㄚ	kua			ini_k			fin_wa			m_wu		a		n_a				/
301		ㄏㄨㄚ	hua			ini_h			fin_wa			m_wu		a		n_a				/
302		ㄨㄛ	wo			/				fin_wo			m_wu		o		n_o				/
303		ㄓㄨㄛ	zhuo		ini_zh			fin_wo			m_wu		o		n_o				/
304		ㄔㄨㄛ	chuo		ini_ch			fin_wo			m_wu		o		n_o				/
305		ㄕㄨㄛ	shuo		ini_sh			fin_wo			m_wu		o		n_o				/
306		ㄖㄨㄛ	ruo			ini_r			fin_wo			m_wu		o		n_o				/
307		ㄗㄨㄛ	zuo			ini_z			fin_wo			m_wu		o		n_o				/
308		ㄘㄨㄛ	cuo			ini_c			fin_wo			m_wu		o		n_o				/
309		ㄙㄨㄛ	suo			ini_s			fin_wo			m_wu		o		n_o				/
310		ㄍㄨㄛ	guo			ini_g			fin_wo			m_wu		o		n_o				/
311		ㄎㄨㄛ	kuo			ini_k			fin_wo			m_wu		o		n_o				/
312		ㄏㄨㄛ	huo			ini_h			fin_wo			m_wu		o		n_o				/
313		ㄉㄨㄛ	duo			ini_d			fin_wo			m_wu		o		n_o				/
314		ㄊㄨㄛ	tuo			ini_t			fin_wo			m_wu		o		n_o				/
315		ㄋㄨㄛ	nuo			ini_n			fin_wo			m_wu		o		n_o				/
316		ㄌㄨㄛ	luo			ini_l			fin_wo			m_wu		o		n_o				/
317		ㄨㄞ	wai			/				fin_wai			m_wu		ai		n_a				c_yi
318		ㄓㄨㄞ	zhuai		ini_zh			fin_wai			m_wu		ai		n_a				c_yi
319		ㄔㄨㄞ	chuai		ini_ch			fin_wai			m_wu		ai		n_a				c_yi
320		ㄕㄨㄞ	shuai		ini_sh			fin_wai			m_wu		ai		n_a				c_yi
321		ㄍㄨㄞ	guai		ini_g			fin_wai			m_wu		ai		n_a				c_yi
322		ㄎㄨㄞ	kuai		ini_k			fin_wai			m_wu		ai		n_a				c_yi
323		ㄏㄨㄞ	huai		ini_h			fin_wai			m_wu		ai		n_a				c_yi
324		ㄨㄟ	wei			/				fin_wei			m_wu		ei		n_eh			c_yi
325		ㄓㄨㄟ	zhui		ini_zh			fin_wei			m_wu		ei		n_eh			c_yi
326		ㄔㄨㄟ	chui		ini_ch			fin_wei			m_wu		ei		n_eh			c_yi
327		ㄕㄨㄟ	shui		ini_sh			fin_wei			m_wu		ei		n_eh			c_yi
328		ㄖㄨㄟ	rui			ini_r			fin_wei			m_wu		ei		n_eh			c_yi
329		ㄗㄨㄟ	zui			ini_z			fin_wei			m_wu		ei		n_eh			c_yi
330		ㄘㄨㄟ	cui			ini_c			fin_wei			m_wu		ei		n_eh			c_yi
331		ㄙㄨㄟ	sui			ini_s			fin_wei			m_wu		ei		n_eh			c_yi
332		ㄍㄨㄟ	gui			ini_g			fin_wei			m_wu		ei		n_eh			c_yi
333		ㄎㄨㄟ	kui			ini_k			fin_wei			m_wu		ei		n_eh			c_yi
334		ㄏㄨㄟ	hui			ini_h			fin_wei			m_wu		ei		n_eh			c_yi
335		ㄉㄨㄟ	dui			ini_d			fin_wei			m_wu		ei		n_eh			c_yi
336		ㄊㄨㄟ	tui			ini_t			fin_wei			m_wu		ei		n_eh			c_yi
337		ㄨㄢ	wan			/				fin_wan			m_wu		an		n_a				c_n
338		ㄓㄨㄢ	zhuan		ini_zh			fin_wan			m_wu		an		n_a				c_n
339		ㄔㄨㄢ	chuan		ini_ch			fin_wan			m_wu		an		n_a				c_n
340		ㄕㄨㄢ	shuan		ini_sh			fin_wan			m_wu		an		n_a				c_n
341		ㄖㄨㄢ	ruan		ini_r			fin_wan			m_wu		an		n_a				c_n
342		ㄗㄨㄢ	zuan		ini_z			fin_wan			m_wu		an		n_a				c_n
343		ㄘㄨㄢ	cuan		ini_c			fin_wan			m_wu		an		n_a				c_n
344		ㄙㄨㄢ	suan		ini_s			fin_wan			m_wu		an		n_a				c_n
345		ㄍㄨㄢ	guan		ini_g			fin_wan			m_wu		an		n_a				c_n
346		ㄎㄨㄢ	kuan		ini_k			fin_wan			m_wu		an		n_a				c_n
347		ㄏㄨㄢ	huan		ini_h			fin_wan			m_wu		an		n_a				c_n
348		ㄉㄨㄢ	duan		ini_d			fin_wan			m_wu		an		n_a				c_n
349		ㄊㄨㄢ	tuan		ini_t			fin_wan			m_wu		an		n_a				c_n
350		ㄋㄨㄢ	nuan		ini_n			fin_wan			m_wu		an		n_a				c_n
351		ㄌㄨㄢ	luan		ini_l			fin_wan			m_wu		an		n_a				c_n
